order,list_title,owner,name,user_note,full_label,address,latitude,longitude,maps_url,google_ref,place_key,saved_at_utc,updated_at_utc
1,Want to go,Natalja Monski,Coffee Love,Cukrárna,"Coffee Love, 19 Griboedov St, Batumi 6010","19 Griboedov St, Batumi 6010",41.6438718,41.6228547,"https://www.google.com/maps/search/?api=1&query=Coffee+Love+41.6438718,41.6228547",/g/11sbvy76k4,4640827299445486505|2080700992573309557,2026-07-15T14:36:06.910580Z,2026-07-15T14:36:06.910580Z
2,Want to go,Natalja Monski,Umístěný špendlík,Dětský koutek,,Adresa v okolí: Batumi,41.6423464,41.6238841,"https://www.google.com/maps/search/?api=1&query=Umístěný+špendlík+41.6423464,41.6238841",,,2026-07-15T14:32:08.813860Z,2026-07-15T14:32:08.813860Z
3,Want to go,Natalja Monski,Local souvenir shop,Suvenýry,"Local souvenir shop, 16 Parnavaz Mepe St, Batumi","16 Parnavaz Mepe St, Batumi",41.6504469,41.641416299999996,"https://www.google.com/maps/search/?api=1&query=Local+souvenir+shop+41.6504469,41.641416299999996",/g/11vqnw1yhl,4640826376475200445|3680646294226615197,2026-07-15T12:13:10.652305Z,2026-07-15T12:13:10.652305Z
4,Want to go,Natalja Monski,"Old Batumi Handmade souvenirs & gifts shop 13 Farnavaz Mefe Street, Batumi, Georgia",Suvenýry,"Old Batumi Handmade souvenirs & gifts shop 13 Farnavaz Mefe Street, Batumi, Georgia, 13 Parnavaz Mepe St, Batumi","13 Parnavaz Mepe St, Batumi",41.6503922,41.6423172,"https://www.google.com/maps/search/?api=1&query=Old+Batumi+Handmade+souvenirs+&+gifts+shop+13+Farnavaz+Mefe+Street,+Batumi,+Georgia+41.6503922,41.6423172",/g/11zkcgn_9b,4640826376047228755|7041693807710422914,2026-07-15T12:03:33.929472Z,2026-07-15T12:03:33.929472Z
5,Want to go,Natalja Monski,Шашлычная #1,Shashlik,"Шашлычная #1, 95 Chavchavadze St, Batumi 1054","95 Chavchavadze St, Batumi 1054",41.642704699999996,41.6300417,"https://www.google.com/maps/search/?api=1&query=Шашлычная+#1+41.642704699999996,41.6300417",/g/11kby4k5hp,4640827141494963245|-6820561269105948910,2026-07-14T12:18:46.397696Z,2026-07-14T12:18:46.397696Z
6,Want to go,Natalja Monski,Cafe Central Batumi,Foto zóna,"Cafe Central Batumi, Cafe Central, 56 Memed Abashidze Ave, Batumi 6010","Cafe Central, 56 Memed Abashidze Ave, Batumi 6010",41.648688199999995,41.6314043,"https://www.google.com/maps/search/?api=1&query=Cafe+Central+Batumi+41.648688199999995,41.6314043",/g/11ldnn5sfk,4640826375198613353|8248231968978011923,2026-07-13T17:07:02.021819Z,2026-07-13T17:07:02.021819Z
7,Want to go,Natalja Monski,DS Mall,Oblečení + Transformer,,,41.639707,41.6217109,"https://www.google.com/maps/search/?api=1&query=DS+Mall+41.639707,41.6217109",,4640825331115629941|2939831152862403898,2026-03-02T12:00:27.847546Z,2026-07-13T10:59:03.682993Z
8,Want to go,Natalja Monski,31 Zubalashvili St,Zubař magdička,"31 Zubalashvili St, Batumi 6010","31 Zubalashvili St, Batumi 6010",41.646029299999995,41.6376644,"https://www.google.com/maps/search/?api=1&query=31+Zubalashvili+St+41.646029299999995,41.6376644",/g/11mtfrd6qg,4640825369044019659|8621350996188141992,2026-07-13T10:58:07.014744Z,2026-07-13T10:58:07.014744Z
9,Want to go,Natalja Monski,Khinklis Gemo +,Restaurace,,"87 Pushkin St, Batumi",41.6408547,41.631175299999995,"https://www.google.com/maps/search/?api=1&query=Khinklis+Gemo+++41.6408547,41.631175299999995",,4640826603499398617|4101809344163985976,2026-07-13T09:16:09.373724Z,2026-07-13T09:16:09.373724Z
10,Want to go,Natalja Monski,Bebe,Oblečení,"Bebe, 66 Zurab Gorgiladze St, Batumi 6000","66 Zurab Gorgiladze St, Batumi 6000",41.6444809,41.623754399999996,"https://www.google.com/maps/search/?api=1&query=Bebe+41.6444809,41.623754399999996",/g/11vrykcm56,4640826377087521239|3607298125279810497,2026-07-12T12:26:01.544754Z,2026-07-12T12:26:01.544754Z
