user_note,count
(bez poznámky),48
Restaurace,5
Supermarket,5
Suvenýry,3
Záclony,2
Termální,2
Potraviny,2
Jysk,2
Rybaření,2
Pirožku,2
Jídelna,2
Cukrárna,1
Dětský koutek,1
Shashlik,1
Foto zóna,1
Oblečení + Transformer,1
Zubař magdička,1
Oblečení,1
Tašky kabelky,1
Hachapuri house,1
Rybářské molo,1
Nádobí,1
Trh s oblečením a ovocím,1
Obchodní centrum. Vincera obchod vin,1
Kavárna,1
Termální jezírko,1
Restaurace ceny,1
Náš obchod,1
Interspar,1
Tursa supermarket,1
Готовая еда,1
Pivo,1
Švédský stůl,1
Stilovaja,1
Облака,1
Dendrologicka zahrada,1
Слияние 2 рек,1
Pekárna,1
White house,1
Plaz,1
Plaz černý Písek,1
Dendropark : vše zdarma,1
Пляж черный песок,1
Koleno,1
Piza saláty špagetu,1
Wine House,1
Деревянный пляж,1
Парковка для деревянного пляжа,1
Пляж,1
Lopatki,1
Shopping,1
Levná dobrá pizza,1
"Ervinivi nechutnali hinkali, kompon a hachapuri super, sasha bojalas",1
Рваное мясо,1
Art magazín,1
Dětské oblečení,1
Dětské zboží,1
Dětský obchod,1
Nábytek,1
Dětské centrum,1
Běl kosmetika,1
Belaruss kosmetic,1
Украшения сувениры магазин,1
Knihy,1
Ptáci Zoo,1
